show_id,type,title,director,cast,country,date_added,release_year,rating,listed_in,description
s102,Movie,Netflix Title 102,Director 55,,,,1995,,Action,This is a movie released in 1995.
s103,Movie,Netflix Title 103,Director 239,,Canada,,1988,PG,Documentary,This is a movie released in 1988.
s104,TV Show,Netflix Title 104,Director 198,"Actor 432, Actor 782",United States,,1989,TV-14,Drama,
s105,Movie,Netflix Title 105,,,India,,2019,R,Thriller,
s106,Movie,Netflix Title 106,,"Actor 47, Actor 835",France,"June 21, 2017",1985,,Thriller,
s107,TV Show,Netflix Title 107,,,South Korea,"March 25, 2020",1982,TV-PG,Horror,This is a tv show released in 1982.
s108,TV Show,Netflix Title 108,,,India,,2000,PG-13,Romance,This is a tv show released in 2000.
s109,TV Show,Netflix Title 109,Director 200,,France,"September 07, 2022",1999,PG,Thriller,This is a tv show released in 1999.
s110,TV Show,Netflix Title 110,Director 17,,Canada,,2001,PG-13,Comedy,
s111,Movie,Netflix Title 111,Director 149,"Actor 28, Actor 825",South Korea,"December 18, 2023",2004,PG,Drama,This is a movie released in 2004.
s112,Movie,Netflix Title 112,,,India,,2024,TV-MA,Drama,
s113,Movie,Netflix Title 113,Director 177,"Actor 304, Actor 977",India,,2014,TV-MA,Action,
s114,TV Show,Netflix Title 114,,"Actor 472, Actor 544",United Kingdom,"July 17, 2017",2013,G,Thriller,This is a tv show released in 2013.
s115,Movie,Netflix Title 115,Director 53,,United Kingdom,,2020,TV-MA,Thriller,This is a movie released in 2020.
s116,TV Show,Netflix Title 116,,"Actor 472, Actor 949",,"April 24, 2023",1989,G,Drama,
s117,Movie,Netflix Title 117,,,India,,2024,G,Action,
s118,TV Show,Netflix Title 118,,,India,"January 13, 2016",2010,TV-MA,Drama,
s119,Movie,Netflix Title 119,,,France,"February 10, 2023",2022,PG-13,Documentary,This is a movie released in 2022.
s120,Movie,Netflix Title 120,,,United Kingdom,,1988,TV-14,Documentary,This is a movie released in 1988.
s121,TV Show,Netflix Title 121,,"Actor 294, Actor 520",Japan,,1993,,Thriller,This is a tv show released in 1993.
s122,TV Show,Netflix Title 122,,"Actor 275, Actor 991",France,,2004,TV-PG,Thriller,
s123,TV Show,Netflix Title 123,,,United States,,1996,R,Thriller,This is a tv show released in 1996.
s124,Movie,Netflix Title 124,Director 242,"Actor 199, Actor 527",Canada,"December 11, 2021",2021,TV-PG,Drama,This is a movie released in 2021.
s125,Movie,Netflix Title 125,,,Canada,,2000,R,Documentary,This is a movie released in 2000.
s126,TV Show,Netflix Title 126,Director 22,,,,1993,PG-13,Horror,This is a tv show released in 1993.
s127,Movie,Netflix Title 127,,"Actor 450, Actor 976",France,,2010,TV-PG,Documentary,This is a movie released in 2010.
s128,Movie,Netflix Title 128,,,South Korea,"January 17, 2019",1998,PG,Thriller,
s129,TV Show,Netflix Title 129,,,United Kingdom,,2008,TV-14,Romance,
s130,Movie,Netflix Title 130,,,Canada,,1983,R,Thriller,This is a movie released in 1983.
s131,TV Show,Netflix Title 131,Director 11,"Actor 208, Actor 595",South Korea,,2002,R,Drama,This is a tv show released in 2002.
s132,Movie,Netflix Title 132,Director 102,,United States,"July 11, 2024",2001,PG-13,Thriller,
s133,TV Show,Netflix Title 133,,,United Kingdom,,1984,PG,Romance,This is a tv show released in 1984.
s134,Movie,Netflix Title 134,,,Japan,"September 24, 2022",1983,G,Action,This is a movie released in 1983.
s135,Movie,Netflix Title 135,Director 220,,India,,2005,PG,Romance,
s136,TV Show,Netflix Title 136,,"Actor 63, Actor 887",Canada,,2003,PG-13,Action,
s137,Movie,Netflix Title 137,Director 163,,France,"June 15, 2015",2001,TV-MA,Thriller,
s138,TV Show,Netflix Title 138,Director 260,,,,2023,TV-PG,Comedy,This is a tv show released in 2023.
s139,TV Show,Netflix Title 139,,"Actor 398, Actor 946",Japan,,1996,R,Horror,
s140,TV Show,Netflix Title 140,Director 200,"Actor 340, Actor 789",,"November 20, 2020",1996,R,Horror,
s141,TV Show,Netflix Title 141,Director 97,"Actor 293, Actor 734",Canada,"June 19, 2018",2018,R,Action,This is a tv show released in 2018.
s142,Movie,Netflix Title 142,Director 158,,Japan,"May 11, 2024",1994,TV-MA,Drama,This is a movie released in 1994.
s143,Movie,Netflix Title 143,Director 89,,United States,,2009,TV-PG,Thriller,This is a movie released in 2009.
s144,Movie,Netflix Title 144,,"Actor 54, Actor 640",India,,2014,PG,Drama,This is a movie released in 2014.
s145,TV Show,Netflix Title 145,,"Actor 473, Actor 804",United States,"August 25, 2023",1990,TV-14,Comedy,
s146,Movie,Netflix Title 146,Director 101,"Actor 482, Actor 549",France,,2007,PG,Romance,This is a movie released in 2007.
s147,Movie,Netflix Title 147,,,Japan,,2022,TV-PG,Comedy,
s148,TV Show,Netflix Title 148,Director 124,,Japan,,2016,PG,Drama,
s149,TV Show,Netflix Title 149,,"Actor 273, Actor 707",United Kingdom,"February 17, 2022",2016,,Comedy,
s150,Movie,Netflix Title 150,,,United States,,2005,R,Documentary,
s151,TV Show,Netflix Title 151,Director 197,,Canada,,2019,TV-14,Comedy,This is a tv show released in 2019.
s152,TV Show,Netflix Title 152,Director 45,"Actor 186, Actor 991",Canada,"October 13, 2024",2015,TV-MA,Romance,
s153,TV Show,Netflix Title 153,Director 241,,France,"March 02, 2024",1993,TV-14,Action,
s154,Movie,Netflix Title 154,Director 32,"Actor 390, Actor 906",,,1989,R,Drama,This is a movie released in 1989.
s155,Movie,Netflix Title 155,,"Actor 147, Actor 903",United Kingdom,"January 05, 2019",2015,,Documentary,
s156,TV Show,Netflix Title 156,,,Canada,"October 10, 2021",2020,R,Comedy,This is a tv show released in 2020.
s157,Movie,Netflix Title 157,Director 29,"Actor 79, Actor 858",France,,2003,PG-13,Thriller,This is a movie released in 2003.
s158,Movie,Netflix Title 158,,"Actor 217, Actor 672",India,,2007,R,Drama,
s159,Movie,Netflix Title 159,,"Actor 7, Actor 637",Japan,"June 28, 2016",2006,G,Romance,
s160,Movie,Netflix Title 160,Director 123,"Actor 409, Actor 709",Canada,,2021,TV-PG,Thriller,This is a movie released in 2021.
s161,Movie,Netflix Title 161,,,India,,2003,TV-MA,Horror,
s162,Movie,Netflix Title 162,,"Actor 85, Actor 712",Canada,,1990,G,Action,
s163,Movie,Netflix Title 163,,"Actor 43, Actor 811",Canada,"January 22, 2023",2012,PG-13,Drama,This is a movie released in 2012.
s164,Movie,Netflix Title 164,Director 79,,,,1994,G,Horror,
s165,Movie,Netflix Title 165,Director 31,,United Kingdom,,1999,TV-14,Horror,This is a movie released in 1999.
s166,TV Show,Netflix Title 166,Director 110,"Actor 224, Actor 553",Canada,,1984,TV-PG,Action,This is a tv show released in 1984.
s167,Movie,Netflix Title 167,Director 53,"Actor 379, Actor 959",United States,"December 29, 2015",1990,TV-PG,Action,This is a movie released in 1990.
s168,TV Show,Netflix Title 168,,"Actor 393, Actor 750",Japan,"October 15, 2022",1982,TV-MA,Comedy,This is a tv show released in 1982.
s169,TV Show,Netflix Title 169,,,,,1980,R,Horror,This is a tv show released in 1980.
s170,Movie,Netflix Title 170,Director 290,"Actor 236, Actor 879",India,"April 26, 2015",1981,PG,Thriller,
s171,TV Show,Netflix Title 171,Director 125,,France,,1994,TV-14,Romance,This is a tv show released in 1994.
s172,TV Show,Netflix Title 172,Director 145,"Actor 395, Actor 770",Japan,"November 17, 2015",1994,G,Action,
s173,TV Show,Netflix Title 173,Director 153,,,,1990,TV-PG,Action,
s174,TV Show,Netflix Title 174,Director 163,"Actor 371, Actor 601",,"June 26, 2017",2014,PG-13,Documentary,This is a tv show released in 2014.
s175,TV Show,Netflix Title 175,,"Actor 262, Actor 695",Canada,"November 26, 2021",1991,TV-14,Drama,This is a tv show released in 1991.
s176,TV Show,Netflix Title 176,,"Actor 265, Actor 920",United States,"January 14, 2024",1992,G,Horror,This is a tv show released in 1992.
s177,TV Show,Netflix Title 177,Director 239,"Actor 492, Actor 897",Japan,,2022,G,Romance,This is a tv show released in 2022.
s178,Movie,Netflix Title 178,,"Actor 214, Actor 874",France,,1994,PG,Horror,
s179,Movie,Netflix Title 179,,,Japan,"November 14, 2024",2005,PG,Action,This is a movie released in 2005.
s180,TV Show,Netflix Title 180,,"Actor 388, Actor 730",,"January 27, 2022",2020,G,Comedy,This is a tv show released in 2020.
s181,Movie,Netflix Title 181,Director 179,,United States,"November 27, 2021",1996,PG,Romance,
s182,Movie,Netflix Title 182,,"Actor 150, Actor 516",United Kingdom,"September 16, 2019",1994,TV-14,Drama,
s183,TV Show,Netflix Title 183,,"Actor 432, Actor 740",Canada,"July 15, 2015",1991,,Action,
s184,TV Show,Netflix Title 184,Director 171,"Actor 25, Actor 510",United States,"July 20, 2019",1994,R,Comedy,This is a tv show released in 1994.
s185,Movie,Netflix Title 185,Director 44,"Actor 255, Actor 505",,"April 24, 2024",2019,R,Action,
s186,TV Show,Netflix Title 186,Director 293,"Actor 478, Actor 958",United States,"July 12, 2017",1980,TV-MA,Documentary,This is a tv show released in 1980.
s187,Movie,Netflix Title 187,Director 198,"Actor 119, Actor 554",United Kingdom,"January 30, 2018",1992,,Comedy,
s188,TV Show,Netflix Title 188,Director 182,"Actor 244, Actor 707",India,"January 16, 2023",2017,TV-14,Thriller,This is a tv show released in 2017.
s189,Movie,Netflix Title 189,,,India,,1980,PG,Documentary,
s190,TV Show,Netflix Title 190,Director 188,,Canada,"March 04, 2021",1989,R,Drama,This is a tv show released in 1989.
s191,TV Show,Netflix Title 191,Director 208,"Actor 339, Actor 997",United Kingdom,"June 15, 2015",1991,TV-14,Drama,
s192,Movie,Netflix Title 192,Director 79,,Japan,,2022,G,Horror,
s193,TV Show,Netflix Title 193,Director 12,,France,"July 28, 2019",2020,,Romance,
s194,TV Show,Netflix Title 194,Director 172,,South Korea,"May 04, 2022",1981,G,Comedy,
s195,TV Show,Netflix Title 195,,"Actor 500, Actor 889",France,,1986,PG,Documentary,
s196,Movie,Netflix Title 196,,,Japan,,2005,PG,Documentary,
s197,TV Show,Netflix Title 197,Director 149,"Actor 321, Actor 800",India,,2022,G,Horror,This is a tv show released in 2022.
s198,Movie,Netflix Title 198,,,United States,"December 14, 2023",2020,R,Comedy,
s199,TV Show,Netflix Title 199,Director 131,,Canada,"July 24, 2021",1991,TV-PG,Horror,
s200,TV Show,Netflix Title 200,Director 208,,Japan,"December 25, 2022",1984,TV-14,Action,This is a tv show released in 1984.
s201,TV Show,Netflix Title 201,Director 274,"Actor 119, Actor 826",Japan,"April 05, 2015",1986,TV-MA,Comedy,
s202,Movie,Netflix Title 202,,"Actor 40, Actor 947",United Kingdom,,2011,G,Documentary,
s203,TV Show,Netflix Title 203,Director 276,,United States,,2008,,Romance,
s204,Movie,Netflix Title 204,,,Japan,"May 09, 2015",1981,,Documentary,
s205,TV Show,Netflix Title 205,,,France,,2024,G,Horror,
s206,TV Show,Netflix Title 206,Director 50,,India,,2006,TV-PG,Drama,This is a tv show released in 2006.
s207,Movie,Netflix Title 207,,,India,"March 07, 2018",1986,G,Drama,
s208,Movie,Netflix Title 208,,,United States,"August 05, 2015",2004,PG,Documentary,This is a movie released in 2004.
s209,TV Show,Netflix Title 209,Director 208,"Actor 163, Actor 687",United States,,2001,PG,Romance,
s210,TV Show,Netflix Title 210,,,India,"October 16, 2017",2022,PG,Thriller,This is a tv show released in 2022.
s211,TV Show,Netflix Title 211,,"Actor 204, Actor 822",United Kingdom,,1984,TV-PG,Romance,This is a tv show released in 1984.
s212,Movie,Netflix Title 212,Director 131,,United Kingdom,"July 21, 2015",2000,G,Romance,
s213,TV Show,Netflix Title 213,,,Japan,,2006,,Romance,This is a tv show released in 2006.
s214,TV Show,Netflix Title 214,Director 129,,United States,,1993,PG-13,Comedy,This is a tv show released in 1993.
s215,Movie,Netflix Title 215,,"Actor 472, Actor 600",,,1987,TV-MA,Documentary,
s216,TV Show,Netflix Title 216,Director 91,"Actor 381, Actor 523",India,"September 10, 2017",2022,PG,Thriller,
s217,Movie,Netflix Title 217,,"Actor 349, Actor 712",France,"December 02, 2024",1985,G,Action,This is a movie released in 1985.
s218,TV Show,Netflix Title 218,,,Japan,,1991,PG-13,Drama,
s219,TV Show,Netflix Title 219,Director 260,"Actor 246, Actor 895",,"March 16, 2017",1999,,Horror,This is a tv show released in 1999.
s220,TV Show,Netflix Title 220,,"Actor 64, Actor 953",Canada,,2024,TV-MA,Romance,This is a tv show released in 2024.
s221,Movie,Netflix Title 221,Director 19,,India,,1991,G,Horror,This is a movie released in 1991.
s222,Movie,Netflix Title 222,,"Actor 410, Actor 815",Canada,,1993,,Thriller,
s223,Movie,Netflix Title 223,Director 156,,India,,2024,PG-13,Drama,This is a movie released in 2024.
s224,TV Show,Netflix Title 224,,,Japan,,1982,TV-14,Action,This is a tv show released in 1982.
s225,TV Show,Netflix Title 225,Director 29,"Actor 473, Actor 804",India,"December 05, 2020",2021,PG-13,Horror,
s226,Movie,Netflix Title 226,,"Actor 185, Actor 773",United Kingdom,"October 20, 2017",2018,R,Horror,
s227,TV Show,Netflix Title 227,,"Actor 480, Actor 933",India,"January 29, 2024",1986,R,Documentary,
s228,TV Show,Netflix Title 228,Director 37,,South Korea,,1989,PG,Drama,
s229,TV Show,Netflix Title 229,Director 279,"Actor 83, Actor 768",Japan,"November 04, 2024",1989,,Comedy,This is a tv show released in 1989.
s230,Movie,Netflix Title 230,Director 297,,United Kingdom,,1984,G,Thriller,
s231,Movie,Netflix Title 231,Director 249,"Actor 143, Actor 865",India,"April 25, 2016",2003,PG,Documentary,This is a movie released in 2003.
s232,Movie,Netflix Title 232,Director 223,"Actor 93, Actor 678",Japan,,2020,,Documentary,
s233,Movie,Netflix Title 233,,"Actor 62, Actor 618",South Korea,,2001,TV-MA,Action,
s234,Movie,Netflix Title 234,Director 166,"Actor 416, Actor 739",United Kingdom,"April 07, 2020",1992,,Thriller,
s235,Movie,Netflix Title 235,Director 85,,,,1982,PG,Horror,
s236,Movie,Netflix Title 236,,,Canada,,1991,PG-13,Romance,This is a movie released in 1991.
s237,TV Show,Netflix Title 237,,"Actor 367, Actor 672",France,,2000,,Action,This is a tv show released in 2000.
s238,TV Show,Netflix Title 238,Director 118,"Actor 495, Actor 715",France,,2015,R,Action,
s239,TV Show,Netflix Title 239,,"Actor 40, Actor 810",United States,,2001,TV-14,Thriller,
s240,Movie,Netflix Title 240,Director 262,,Canada,"April 13, 2015",2013,G,Action,
s241,TV Show,Netflix Title 241,Director 163,"Actor 355, Actor 778",Canada,,1984,TV-MA,Comedy,
s242,Movie,Netflix Title 242,,"Actor 175, Actor 824",France,"October 28, 2019",2014,PG,Romance,This is a movie released in 2014.
s243,Movie,Netflix Title 243,,"Actor 147, Actor 682",United States,,2001,PG-13,Drama,
s244,Movie,Netflix Title 244,,"Actor 149, Actor 546",France,"May 14, 2019",2002,TV-PG,Documentary,
s245,Movie,Netflix Title 245,,,India,"March 28, 2015",2001,PG,Action,This is a movie released in 2001.
s246,TV Show,Netflix Title 246,Director 48,"Actor 195, Actor 916",United Kingdom,"July 03, 2017",1989,TV-MA,Romance,This is a tv show released in 1989.
s247,Movie,Netflix Title 247,,,India,,2020,PG-13,Romance,
s248,Movie,Netflix Title 248,,,United States,"March 20, 2017",2009,R,Thriller,
s249,TV Show,Netflix Title 249,,"Actor 79, Actor 604",United Kingdom,,2000,TV-MA,Action,This is a tv show released in 2000.
s250,TV Show,Netflix Title 250,Director 258,,United States,,2021,TV-PG,Drama,This is a tv show released in 2021.
s251,Movie,Netflix Title 251,,"Actor 282, Actor 571",United States,"May 16, 2017",2004,TV-MA,Documentary,This is a movie released in 2004.
s252,Movie,Netflix Title 252,,"Actor 305, Actor 621",United States,"November 08, 2018",1982,,Drama,This is a movie released in 1982.
s253,TV Show,Netflix Title 253,,"Actor 489, Actor 967",France,"May 24, 2020",2003,G,Drama,This is a tv show released in 2003.
s254,Movie,Netflix Title 254,,"Actor 391, Actor 823",Japan,,2024,TV-PG,Drama,
s255,TV Show,Netflix Title 255,Director 184,"Actor 18, Actor 997",South Korea,,2023,TV-14,Thriller,This is a tv show released in 2023.
s256,TV Show,Netflix Title 256,Director 201,"Actor 16, Actor 823",Japan,,2000,R,Drama,This is a tv show released in 2000.
s257,Movie,Netflix Title 257,Director 202,"Actor 289, Actor 790",India,,1983,PG-13,Comedy,
s258,Movie,Netflix Title 258,,,,,2024,,Action,
s259,TV Show,Netflix Title 259,,"Actor 451, Actor 971",South Korea,,2019,TV-PG,Documentary,This is a tv show released in 2019.
s260,Movie,Netflix Title 260,Director 48,"Actor 376, Actor 522",India,"November 08, 2020",2016,TV-14,Comedy,This is a movie released in 2016.
s261,Movie,Netflix Title 261,Director 189,,Japan,,1996,TV-PG,Horror,
s262,Movie,Netflix Title 262,,,,,2001,PG-13,Horror,
s263,TV Show,Netflix Title 263,Director 1,,United Kingdom,,1989,,Comedy,
s264,TV Show,Netflix Title 264,,"Actor 460, Actor 746",India,,2009,TV-PG,Thriller,
s265,Movie,Netflix Title 265,,,,"August 10, 2016",2024,PG-13,Horror,This is a movie released in 2024.
s266,Movie,Netflix Title 266,,,South Korea,"April 23, 2024",1981,TV-MA,Romance,This is a movie released in 1981.
s267,TV Show,Netflix Title 267,,,Japan,"March 04, 2018",1998,G,Romance,
s268,TV Show,Netflix Title 268,,"Actor 143, Actor 609",South Korea,"November 26, 2018",2011,TV-MA,Romance,
s269,TV Show,Netflix Title 269,Director 170,,Japan,"June 19, 2018",1985,TV-PG,Comedy,
